Lough,RepresentativeMonitoringPoints,ShellfishSpecies,DateOfSampling,DSPAlgae,ASPAlgae,PSPAlgae,"Other (Producers of Yessotoxins, Hepatotoxins and Icthytoxic and nuisance species)",Status,Comments
Dundrum Bay ,Inner North - DB1-AFFNI95A,Oysters ,30/09/2025,No harmful species observed,220,No harmful species observed,No harmful species observed,OPEN,
Strangford,S2 - AFFNI42,Mussels ,30/12/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Strangford,S7 - AFFNI76,Oysters,30/12/2024,No harmful species observed,No harmful species observed ,No harmful species observed ,No harmful species observed ,OPEN,
Belfast,B1 - AFFNI55,Mussels,28/12/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Belfast ,B3 - AFFNI50,Mussels,28/12/2024,No harmful species observed,160,No harmful species observed,No harmful species observed,OPEN,
Belfast ,B12 - AFFNI54,Mussels ,28/12/2024,No harmful species observed,280,No harmful species observed,No harmful species observed,OPEN,
Belfast,B20 - AFFNI53,Mussels ,28/12/2024,No harmful species observed,80,No harmful species observed,No harmful species observed,OPEN,
Belfast,B1 - AFFNI55,Mussels,17/12/2024,No harmful species observed,280,No harmful species observed,No harmful species observed,OPEN,
Belfast ,B3 - AFFNI50,Mussels,17/12/2024,No harmful species observed,200,No harmful species observed,No harmful species observed,OPEN,
Belfast ,B12 - AFFNI54,Mussels ,17/12/2024,No harmful species observed,600,No harmful species observed,No harmful species observed,OPEN,
Belfast,B20 - AFFNI53,Mussels ,17/12/2024,No harmful species observed,560,No harmful species observed,20,OPEN,
Carlingford,C1 - AFFNI27,Mussels ,16/12/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Carlingford,C11 - AFFNI84,Oysters,16/12/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Carlingford ,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C16 -106 C17 AFFNI100",Oysters,16/12/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Carlingford ,Narrow Water Wild Fishery ,Mussels,16/12/2024,No harmful species observed,80,No harmful species observed,No harmful species observed,OPEN,
Killough ,K1 - AFFNI18,Oysters,16/12/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Lough Foyle ,Production Area 3,Oysters/Mussels,16/12/2024,No harmful species observed,40,No harmful species observed,No harmful species observed,OPEN,
Lough Foyle ,Production Area 4,Oysters/Mussels ,16/12/2024,No harmful species observed,240,No harmful species observed,No harmful species observed,OPEN,
Strangford,S2 - AFFNI42,Mussels ,16/12/2024,No harmful species observed,40,No harmful species observed,No harmful species observed,OPEN,
Strangford,S7 - AFFNI76,Oysters,16/12/2024,No harmful species observed,80,No harmful species observed,No harmful species observed,OPEN,
Larne Lough ,L3 AFFNI88,Oysters,09/12/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Dundrum Bay ,Inner North - DB1-AFFNI95A,Oysters ,04/12/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Killough ,K1 - AFFNI18,Oysters,04/12/2024,No harmful species observed,200,No harmful species observed,No harmful species observed,OPEN,
Carliingford ,C1 - AFFNI27,Mussels ,03/12/2024,No harmful species observed,120,No harmful species observed,No harmful species observed,OPEN,
Carlingford ,C11 - AFFNI84,Oysters ,03/12/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Carlingford ,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C16 -106 C17 AFFNI100",Oysters ,03/12/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Carlingford ,Narrow Water Wild Fishery ,Mussels,03/12/2024,No harmful species observed,160,No harmful species observed,No harmful species observed,OPEN,
Lough Foyle,Production Area 3,Oysters/Mussels,02/12/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Lough Foyle ,Production Area 4,Oysters/Mussels,02/12/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Strangford,S2 - AFFNI42,Mussels ,02/12/2024,No harmful species observed,80,No harmful species observed,No harmful species observed,OPEN,
Strangford ,S7 - AFFNI76,Oysters,02/12/2024,No harmful species observed,No harmful species observed ,No harmful species observed ,No harmful species observed ,OPEN,
Belfast ,B1 - AFFNI55,Mussels ,26/11/2024,No harmful species observed,1100,No harmful species observed,No harmful species observed,OPEN,
Belfast ,B3 - AFFNI50,Mussels ,26/11/2024,No harmful species observed,1740,No harmful species observed,No harmful species observed,OPEN,
Belfast ,B12 - AFFNI54,Mussels ,26/11/2024,20,1780,No harmful species observed,40,OPEN,
Belfast,B20 - AFFNI53,Mussels ,26/11/2024,No harmful species observed,1620,No harmful species observed,No harmful species observed,OPEN,
