Lough,RepresentativeMonitoringPoints,ShellfishSpecies,DateOfSampling,DSPAlgae,ASPAlgae,PSPAlgae,"Other (Producers of Yessotoxins, Hepatotoxins and Icthytoxic and nuisance species)",Status,Comments
Carlingford ,C1 - AFFNI27,Mussels ,18/11/2024,No harmful species observed,40,No harmful species observed,No harmful species observed,OPEN,
Carlingford ,C11 - AFFNI84,Oysters ,18/11/2024,No harmful species observed,120,No harmful species observed,No harmful species observed,OPEN,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C16 -106 C17 AFFNI100",Oysters ,18/11/2024,No harmful species observed,120,No harmful species observed,No harmful species observed,OPEN,
Carlingford ,Narrow Water Wild Fishery ,Mussels ,18/11/2024,No harmful species observed,320,No harmful species observed,No harmful species observed,OPEN,
Dundrum Bay ,Inner North - DB1-AFFNI95A,Oysters ,18/11/2024,No harmful species observed,560,No harmful species observed,No harmful species observed,OPEN,
Killough ,K1 - AFFNI18,Oysters,18/11/2024,No harmful species observed,40,No harmful species observed,No harmful species observed,OPEN,
Larne Lough ,L3 AFFNI88,Oysters ,18/11/2024,No harmful species observed,160,No harmful species observed,No harmful species observed,OPEN,
Lough Foyle,Production Area 3,Oysters/Mussels,18/11/2024,No harmful species observed,840,No harmful species observed,No harmful species observed,OPEN,
Lough Foyle ,Production Area 4,Oysters/Mussels ,18/11/2024,No harmful species observed,400,No harmful species observed,No harmful species observed,OPEN,
Strangford ,S2 - AFFNI42,Mussels,18/11/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Strangford ,S7 - AFFNI76,Oysters ,18/11/2024,No harmful species observed,160,No harmful species observed ,No harmful species observed ,OPEN ,
Belfast ,B1 - AFFNI55,Mussels ,11/11/2024,No harmful species observed,4640,No harmful species observed,No harmful species observed,OPEN,
Belfast ,B3 - AFFNI50,Mussels ,11/11/2024,20,6420,No harmful species observed,No harmful species observed,OPEN,
Belfast ,B12 - AFFNI54,Mussels ,11/11/2024,No harmful species observed,4340,No harmful species observed,No harmful species observed,OPEN,
Belfast ,B20 - AFFNI53,Mussels ,11/11/2024,No harmful species observed,3240,No harmful species observed,No harmful species observed,OPEN,
Carlingford ,C1 - AFFNI27,Mussels ,05/11/2024,No harmful species observed,40,No harmful species observed,No harmful species observed,OPEN,
Carlingford ,C11 - AFFNI84,Oysters ,05/11/2024,No harmful species observed,80,No harmful species observed,No harmful species observed,OPEN,
Carlingford ,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C16 -106 C17 AFFNI100",Oysters ,05/11/2024,No harmful species observed,160,No harmful species observed,No harmful species observed,OPEN,
Carlingford ,Narrow Water Wild Fishery ,Mussels ,05/11/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Larne Lough ,L3 AFFNI88,Oysters ,05/11/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Dundrum Bay,Inner North - DB1-AFFNI95A,Oysters ,04/11/2024,No harmful species observed,640,No harmful species observed,No harmful species observed,OPEN,
Killough ,K1 - AFFNI18,Oysters,04/11/2024,No harmful species observed,260,No harmful species observed,No harmful species observed,OPEN,
Lough Foyle,Production Area 3,Oysters/Mussels,04/11/2024,No harmful species observed,360,No harmful species observed,No harmful species observed,OPEN,
Lough Foyle,Production Area 4 ,Oysters/Mussels ,04/11/2024,No harmful species observed,660,No harmful species observed,No harmful species observed,OPEN,
Strangford,S2 - AFFNI42,Mussels ,04/11/2024,20,120,No harmful species observed,No harmful species observed,OPEN,
Strangford,S7 - AFFNI76,Oysters,04/11/2024,No harmful species observed ,240,No harmful species observed ,No harmful species observed ,OPEN,
Belfast ,B1 - AFFNI55,Mussels ,29/10/2024,No harmful species observed,2900,No harmful species observed,No harmful species observed,OPEN,
Belfast,B3 - AFFNI50,Mussels,29/10/2024,20,3940,No harmful species observed,No harmful species observed,OPEN,
Belfast ,B12 - AFFNI54,Mussels ,29/10/2024,20,5440,No harmful species observed,No harmful species observed,OPEN,
Belfast ,B20 - AFFNI53,Mussels ,29/10/2024,No harmful species observed,2380,No harmful species observed,No harmful species observed,OPEN,
Carlingford,C1 - AFFNI27,Mussels,22/10/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Carlingford,C11 - AFFNI84,Oysters ,22/10/2024,No harmful species observed,60,No harmful species observed,No harmful species observed,OPEN,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C16 -106 C17 AFFNI100",Oysters,22/10/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Carlingford,Narrow Water Wild Fishery ,Mussels,22/10/2024,No harmful species observed,560,No harmful species observed,No harmful species observed,OPEN,
Strangford,S2 - AFFNI42,Mussels ,22/10/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Dundrum Bay ,Inner North - DB1-AFFNI95A,Oysters,21/10/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Killough,K1 - AFFNI18,Oysters,21/10/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Larne Lough ,L3 AFFNI88,Oysters,21/10/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Lough Foyle ,Production Area 3,Oysters/Mussels,21/10/2024,No harmful species observed,2280,No harmful species observed,No harmful species observed,OPEN,
Lough Foyle,Production Area 4 ,Oysters/Mussels ,21/10/2024,No harmful species observed,1260,No harmful species observed,No harmful species observed,OPEN,
Strangford ,S7 - AFFNI76,Oysters ,21/10/2024,No harmful species observed ,100,No harmful species observed ,No harmful species observed ,OPEN,
Belfast ,B1 - AFFNI55,Mussels ,14/10/2024,40,860,No harmful species observed,No harmful species observed,OPEN,
Belfast,B3 - AFFNI50,Mussels,14/10/2024,20,1460,No harmful species observed,No harmful species observed,OPEN,
Belfast,B12 - AFFNI54,Mussels ,14/10/2024,No harmful species observed,880,No harmful species observed,No harmful species observed,OPEN,
Belfast,B20 - AFFNI53,Mussels,14/10/2024,No harmful species observed,760,No harmful species observed,No harmful species observed,OPEN,
Larne Lough ,L3 AFFNI88,Oysters,08/10/2024,No harmful species observed,80,No harmful species observed,No harmful species observed,OPEN,
Carlingford,C1 - AFFNI27,Mussels,07/10/2024,No harmful species observed,180,No harmful species observed,No harmful species observed,OPEN,
Carlingford,C11 - AFFNI84,Oysters ,07/10/2024,No harmful species observed,140,No harmful species observed,No harmful species observed,OPEN,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C16 -106 C17 AFFNI100",Oysters,07/10/2024,No harmful species observed,40,No harmful species observed,No harmful species observed,OPEN,
Carlingford,Narrow Water Wild Fishery ,Mussels,07/10/2024,No harmful species observed,60,No harmful species observed,No harmful species observed,OPEN,
Dundrum Bay ,Inner North - DB1-AFFNI95A,Oysters,07/10/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Killough,K1 - AFFNI18,Oysters,07/10/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Lough Foyle ,Production Area 3,Oysters/Mussels,07/10/2024,No harmful species observed,2080,No harmful species observed,No harmful species observed,OPEN,
Lough Foyle,Production Area 4 ,Oysters/Mussels ,07/10/2024,No harmful species observed,3060,No harmful species observed,No harmful species observed,OPEN,
Strangford,S2 - AFFNI42,Mussels ,07/10/2024,No harmful species observed,40,No harmful species observed,No harmful species observed,OPEN,
Strangford ,S7 - AFFNI76,Oysters ,07/10/2024,No harmful species observed ,560,No harmful species observed ,No harmful species observed ,OPEN ,
Belfast ,B1 - AFFNI55,Mussels ,30/09/2024,No harmful species observed,320,No harmful species observed,No harmful species observed,OPEN,
Belfast ,B3 - AFFNI50,Mussels ,30/09/2024,No harmful species observed,60,No harmful species observed,No harmful species observed,OPEN,
Belfast,B12 - AFFNI54,Mussels,30/09/2024,No harmful species observed,160,No harmful species observed,No harmful species observed,OPEN,
Belfast,B20 - AFFNI53,Mussels,30/09/2024,No harmful species observed,120,No harmful species observed,No harmful species observed,OPEN,
Killough ,K1 - AFFNI18,Oysters ,30/09/2024,No harmful species observed,80,No harmful species observed,No harmful species observed,OPEN,
Larne Lough ,L3 AFFNI88,Oysters,24/09/2024,No harmful species observed,800,No harmful species observed,No harmful species observed,OPEN,
Strangford,S2 - AFFNI42,Mussels ,24/09/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Carlingford,C1 - AFFNI27,Mussels,23/09/2024,No harmful species observed,540,No harmful species observed,No harmful species observed,OPEN,
Carlingford ,C11 - AFFNI84,Oysters ,23/09/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C16 -106 C17 AFFNI100",Oysters,23/09/2024,No harmful species observed,40,No harmful species observed,No harmful species observed,OPEN,
Carlingford ,Narrow Water Wild Fishery ,Mussels ,23/09/2024,No harmful species observed,480,No harmful species observed,20,OPEN,
Strangford ,S7 - AFFNI76,Oysters ,23/09/2024,No harmful species observed ,No harmful species observed ,No harmful species observed ,No harmful species observed ,OPEN ,
Belfast ,B1 - AFFNI55,Mussels,16/09/2024,No harmful species observed,14240,No harmful species observed,No harmful species observed,OPEN,
Belfast,B3 - AFFNI50,Mussels,16/09/2024,No harmful species observed,12240,No harmful species observed,No harmful species observed,OPEN,
Belfast,B12 - AFFNI54,Mussels,16/09/2024,No harmful species observed,9940,No harmful species observed,No harmful species observed,OPEN,
Belfast ,B20 - AFFNI53,Mussels ,16/09/2024,No harmful species observed,6580,No harmful species observed,No harmful species observed,OPEN,
Dundrum Bay ,Inner North - DB1-AFFNI95A,Oysters,16/09/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Killough ,K1- AFFNI18,Oysters,16/09/2024,No harmful species observed,860,No harmful species observed,No harmful species observed,OPEN,
Carlingford,C11 - AFFNI84,Oysters ,12/09/2024,No harmful species observed,1740,No harmful species observed,No harmful species observed,OPEN,
Larne Lough ,L3 AFFNI88,Oysters,10/09/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Strangford,S2 - AFFNI42,Mussels ,10/09/2024,No harmful species observed,3080,No harmful species observed,No harmful species observed,OPEN,
Carlingford,C1 - AFFNI27,Mussels,09/09/2024,60,1580,No harmful species observed,20,OPEN,
Carlingford,C11 - AFFNI84,Oysters ,09/09/2024,No harmful species observed,1080,No harmful species observed,No harmful species observed,OPEN,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C16 -106 C17 AFFNI100",Oysters,09/09/2024,No harmful species observed,1860,No harmful species observed,No harmful species observed,OPEN,
Carlingford ,Narrow Water Wild Fishery ,Mussels ,09/09/2024,20,480,No harmful species observed,No harmful species observed,OPEN,
Strangford ,S7 - AFFNI76,Oysters,09/09/2024,No harmful species observed ,1020,No harmful species observed ,No harmful species observed ,OPEN,
Belfast,B1 - AFFNI55,Mussels,02/09/2024,No harmful species observed,2780,No harmful species observed,No harmful species observed,OPEN,
Belfast,B3 - AFFNI50,Mussels ,02/09/2024,No harmful species observed,2880,No harmful species observed,No harmful species observed,OPEN,
Belfast,B12 - AFFNI54,Mussels,02/09/2024,No harmful species observed,1680,No harmful species observed,No harmful species observed,OPEN,
Belfast,B20 - AFFNI53,Mussels,02/09/2024,20,980,No harmful species observed,No harmful species observed,OPEN,
Dundrum Bay ,Inner North - DB1-AFFNI95A,Oysters,02/09/2024,No harmful species observed,11300,No harmful species observed,No harmful species observed,OPEN,
Killough ,K1- AFFNI18,Oysters,02/09/2024,No harmful species observed,6200,No harmful species observed,No harmful species observed,OPEN,
Strangford ,S7 - AFFNI76,Oysters ,28/08/2024,No harmful species observed ,1840,No harmful species observed ,No harmful species observed ,OPEN,
Strangford ,S2 - AFFNI42,Mussels ,27/08/2024,80,3220,No harmful species observed,No harmful species observed,OPEN,
Carlingford,C1 - AFFNI27,Mussels ,26/08/2024,No harmful species observed,8200,No harmful species observed,No harmful species observed,OPEN,
Carlingford,C11 - AFFNI84,Oysters ,26/08/2024,No harmful species observed,1100,No harmful species observed,No harmful species observed,OPEN,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C16 -106 C17 AFFNI100",Oysters,26/08/2024,No harmful species observed,260,No harmful species observed,No harmful species observed,OPEN,
Carlingford ,Narrow Water Wild Fishery ,Mussels ,26/08/2024,No harmful species observed,4600,No harmful species observed,No harmful species observed,OPEN,
Larne Lough ,L3 AFFNI88,Oysters ,26/08/2024,No harmful species observed,160,No harmful species observed,No harmful species observed,OPEN,
Dundrum Bay,Inner North - DB1-AFFNI95A,Oysters ,19/08/2024,No harmful species observed,85200,No harmful species observed,No harmful species observed,OPEN,
Killough ,K1- AFFNI18,Oysters ,19/08/2024,No harmful species observed,4600,No harmful species observed,No harmful species observed,OPEN,
Belfast ,B1 - AFFNI55,Mussels ,18/08/2024,No harmful species observed,2580,No harmful species observed,No harmful species observed,OPEN,
Belfast,B3 - AFFNI50,Mussels,18/08/2024,No harmful species observed,3540,No harmful species observed,No harmful species observed,OPEN,
Belfast ,B12 - AFFNI54,Mussels,18/08/2024,40,6940,No harmful species observed,No harmful species observed,OPEN,
Belfast ,B20 - AFFNI53,Mussels,18/08/2024,No harmful species observed,1800,No harmful species observed,No harmful species observed,OPEN,
Larne Lough ,L3 AFFNI88,Oysters,13/08/2024,No harmful species observed,480,No harmful species observed,No harmful species observed,OPEN,
Strangford,S2 - AFFNI42,Mussels,13/08/2024,No harmful species observed,900,No harmful species observed,No harmful species observed,OPEN,
Carlingford,C1 - AFFNI27,Mussels,12/08/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C16 -106 C17 AFFNI100",Oysters,12/08/2024,20,1060,No harmful species observed,No harmful species observed,OPEN,
Carlingford,Narrow Water Wild Fishery ,Mussels,12/08/2024,40,120,No harmful species observed,No harmful species observed,OPEN,
Strangford ,S7 - AFFNI76,Oysters,12/08/2024,No harmful species observed,1620,No harmful species observed,No harmful species observed,OPEN ,
Belfast ,B1 - AFFNI55,Mussels ,05/08/2024,360,300,No harmful species observed,No harmful species observed,OPEN,outwith notification issd 7.8.2024
Belfast ,B3 - AFFNI50,Mussels ,05/08/2024,340,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,outwith notification issd 7.8.2024
Belfast ,B12 - AFFNI54,Mussels ,05/08/2024,1000,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,outwith notification issd 7.8.2024
Belfast ,B20 - AFFNI53,Mussels ,05/08/2024,220,160,No harmful species observed,No harmful species observed,OPEN,outwith notification issd 7.8.2024
Dundrum Bay ,Inner North - DB1-AFFNI95A,Oysters ,05/08/2024,20,2640,No harmful species observed,No harmful species observed,OPEN ,
Killough ,K1- AFFNI18,Oysters,05/08/2024,No harmful species observed,140,No harmful species observed,No harmful species observed,OPEN,
Dundrum Bay ,Inner North - DB1-AFFNI95A,Oysters,31/07/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Killough,K1-AFFNI18,Oysters,31/07/2024,20,3420,No harmful species observed,No harmful species observed,OPEN,
Larne Lough,L3 AFFNI88,Oysters,30/07/2024,No harmful species observed,4960,No harmful species observed,No harmful species observed,OPEN,
Strangford,S2 - AFFNI42,Mussels,30/07/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Strangford ,S7 - AFFNI76,Oysters,30/07/2024,No harmful species observed,1080,No harmful species observed,No harmful species observed,OPEN,
Carlingford ,C1 - AFFNI27,Mussels ,29/07/2024,No harmful species observed,100,No harmful species observed,No harmful species observed,OPEN,
Carlingford,C11 - AFFNI84,Oysters,29/07/2024,60,200,No harmful species observed,No harmful species observed,OPEN,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C16 -106 C17 AFFNI100",Oysters,29/07/2024,No harmful species observed,400,No harmful species observed,No harmful species observed,OPEN,
Carlingford ,Narrow Water Wild Fishery ,Mussels,29/07/2024,No harmful species observed,520,No harmful species observed,No harmful species observed,OPEN,
Belfast ,B1 - AFFNI55,Mussels,23/07/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Belfast,B3 - AFFNI50,Mussels,23/07/2024,No harmful species observed,320,No harmful species observed,No harmful species observed,OPEN,
Belfast,B12 - AFFNI54,Mussels ,23/07/2024,No harmful species observed,300,No harmful species observed,No harmful species observed,OPEN,
Belfast ,B20 - AFFNI53,Mussels ,23/07/2024,No harmful species observed,140,No harmful species observed,No harmful species observed,OPEN,
Dundrum Bay ,Inner North - DB1-AFFNI95A,Oysters ,17/07/2024,No harmful species observed,900,No harmful species observed,No harmful species observed,OPEN,
Killough,K1-AFFNI18,Oysters,17/07/2024,No harmful species observed,540,No harmful species observed,40,OPEN,
Strangford,S2 - AFFNI42,Mussels ,16/07/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Strangford,S7 - AFFNI76,Oysters,16/07/2024,No harmful species observed,980,No harmful species observed,No harmful species observed,OPEN,
Carlingford ,C1 - AFFNI27,Mussels ,15/07/2024,No harmful species observed,6220,No harmful species observed,No harmful species observed,OPEN,
Carlingford,C11 - AFFNI84,Oysters,15/07/2024,No harmful species observed,1440,No harmful species observed,20,OPEN,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C16 -106 C17 AFFNI100",Oysters ,15/07/2024,No harmful species observed,3200,No harmful species observed,No harmful species observed,OPEN,
Carlingford,Narrow Water Wild Fishery ,Mussels ,15/07/2024,No harmful species observed,8000,No harmful species observed,No harmful species observed,OPEN,
Larne Lough ,L3 AFFNI88,Oysters,15/07/2024,No harmful species observed,1820,No harmful species observed,No harmful species observed,OPEN,
Belfast ,B1 - AFFNI55,Mussels,07/07/2024,No harmful species observed,2740,No harmful species observed,No harmful species observed,OPEN,
Belfast,B3 - AFFNI50,Mussels,07/07/2024,No harmful species observed,2160,No harmful species observed,No harmful species observed,OPEN,
Belfast,B12 - AFFNI54,Mussels,07/07/2024,No harmful species observed,3160,No harmful species observed,No harmful species observed,OPEN,
Belfast,B20 - AFFNI53,Mussels,07/07/2024,60,2420,No harmful species observed,No harmful species observed,OPEN,
Dundrum Bay,Inner North - DB1-AFFNI95A,Oysters,03/07/2024,No harmful species observed,2080,No harmful species observed,No harmful species observed,OPEN ,
Killough,K1-AFFNI18,Oysters,03/07/2024,No harmful species observed,1920,No harmful species observed,No harmful species observed,OPEN ,
Larne Lough,L3 AFFNI88,Oysters,02/07/2024,No harmful species observed,800,No harmful species observed,No harmful species observed,OPEN ,
Strangford,S2 - AFFNI42,Mussels,02/07/2024,20,420,No harmful species observed,No harmful species observed,OPEN,
Strangford ,S7 - AFFNI76,Oysters,02/07/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Carlingford ,C1 - AFFNI27,Mussels ,01/07/2024,20,2300,No harmful species observed,No harmful species observed,OPEN,
Carlingford,C11 - AFFNI84,Oysters,01/07/2024,No harmful species observed,4040,No harmful species observed,No harmful species observed,OPEN,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C16 -106 C17 AFFNI100",Oysters ,01/07/2024,No harmful species observed,2860,No harmful species observed,No harmful species observed,OPEN,
Carlingford ,Narrow Water Wild Fishery ,Mussels,01/07/2024,No harmful species observed,1160,No harmful species observed,No harmful species observed,OPEN,
Larne Lough ,L3 AFFNI88,Oysters,24/06/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Carlingford ,C1 - AFFNI27,Mussels ,18/06/2024,No harmful species observed,520,No harmful species observed,No harmful species observed,OPEN,
Carlingford,C11 - AFFNI84,Oysters,18/06/2024,80,300,No harmful species observed,No harmful species observed,OPEN,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C16 -106 C17 AFFNI100",Oysters,18/06/2024,No harmful species observed,80,No harmful species observed,No harmful species observed,OPEN,
Carlingford ,Narrow Water Wild Fishery ,Mussels,18/06/2024,No harmful species observed,80,No harmful species observed,No harmful species observed,OPEN,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,17/06/2024,No harmful species observed,1700,No harmful species observed,No harmful species observed,OPEN,
Killough,K1 - AFFNI18,Oysters,17/06/2024,No harmful species observed,12160,No harmful species observed,No harmful species observed,OPEN,
Strangford,S2 - AFFNI42,Mussels,17/06/2024,No harmful species observed,80,No harmful species observed,No harmful species observed,OPEN,
Strangford ,S7 - AFFNI76,Oysters,17/06/2024,No harmful species observed ,160,No harmful species observed ,No harmful species observed ,OPEN,
Belfast ,B1 - AFFNI55,Mussels,16/06/2024,No harmful species observed,28940,No harmful species observed,No harmful species observed,OPEN,
Belfast,B3 - AFFNI50,Mussels,16/06/2024,20,24220,No harmful species observed,No harmful species observed,OPEN,
Belfast,B12 - AFFNI54,Mussels,16/06/2024,No harmful species observed,25800,No harmful species observed,No harmful species observed,OPEN,
Belfast,B20 - AFFNI53,Mussels,16/06/2024,No harmful species observed,93800,No harmful species observed,No harmful species observed,OPEN,
Larne Lough ,L3 AFFNI88,Oysters,11/06/2024,No harmful species observed,80,No harmful species observed,No harmful species observed,OPEN,
Carlingford,C1 - AFFNI27,Mussels ,04/06/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Carlingford,C11 - AFFNI84,Oysters ,04/06/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C16 -106 C17 AFFNI100",Oysters ,04/06/2024,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Carlingford,Narrow Water Wild Fishery,Mussels,04/06/2024,No harmful species observed,400,No harmful species observed,No harmful species observed,OPEN,
Belfast ,B1 - AFFNI55,Mussels,03/06/2024,No harmful species observed,2140,No harmful species observed,No harmful species observed,OPEN,
Belfast,B3 - AFFNI50,Mussels,03/06/2024,20,1760,No harmful species observed,No harmful species observed,OPEN,
Belfast,B12 - AFFNI54,Mussels,03/06/2024,40,1320,No harmful species observed,No harmful species observed,OPEN,
Belfast,B20 - AFFNI53,Mussels,03/06/2024,20,420,No harmful species observed,No harmful species observed,OPEN,
Dundrum Bay ,Inner North - DB1 - AFFNI95A,Oysters,03/06/2024,No harmful species observed,4460,No harmful species observed,No harmful species observed,OPEN,
