Lough,RepresentativeMonitoringPoints,ShellfishSpecies,DateOfSampling,DSPAlgae,ASPAlgae,PSPAlgae,"Other (Producers of Yessotoxins, Hepatotoxins and Icthytoxic and nuisance species)",Status,Comments
Carlingford ,C1 - AFFNI27,Mussels ,25/06/2025,No harmful species observed,3480,No harmful species observed,No harmful species observed,OPEN,
Carlingford,C11 - AFFNI84,Oysters  ,25/06/2025,40,3440,No harmful species observed,No harmful species observed,OPEN,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C16 -106 C17 AFFNI92",Oysters  ,25/06/2025,No harmful species observed,1540,No harmful species observed,No harmful species observed,OPEN,
Belfast ,B1-AFFNI55,Mussels,24/06/2025,No harmful species observed,110800,No harmful species observed,No harmful species observed,OPEN,
Belfast ,B3 - AFFNI50,Mussels,24/06/2025,No harmful species observed,125600,No harmful species observed,No harmful species observed,OPEN,
Belfast ,B12 - AFFNI54,Mussels ,24/06/2025,No harmful species observed,92900,No harmful species observed,No harmful species observed,OPEN,
Belfast ,B20 - AFFNI53,Mussels ,24/06/2025,No harmful species observed,101400,No harmful species observed,no harmful species observed,OPEN,
Killough ,K1 - AFFNI18,Oysters,23/06/2025,20,12120,No harmful species observed,No harmful species observed,OPEN,
Larne Lough,L3AFFNI88,Oysters ,23/06/2025,No harmful species observed,80,No harmful species observed,No harmful species observed,OPEN,
Strangford ,S2 - AFFNI42,Mussels,23/06/2025,60,8220,No harmful species observed,No harmful species observed,OPEN,
Strangford ,S7 -AFFNI76,Oysters,23/06/2025,No harmful species observed ,1360,No harmful species observed,No harmful species observed,OPEN,
Carlingford ,C1 - AFFNI27,Mussels ,10/06/2025,No harmful species observed,620,No harmful species observed,No harmful species observed,OPEN,
Carlingford,C11 - AFFNI84,Oysters ,10/06/2025,40,8020,No harmful species observed,No harmful species observed,OPEN,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C16 -106 C17 AFFNI92",Oysters ,10/06/2025,No harmful species observed,3400,No harmful species observed,No harmful species observed,OPEN,
Carlingford,Narrow Water Wild Fishery,Mussels,10/06/2025,60,660,No harmful species observed,No harmful species observed,OPEN,
Belfast,B1 - AFFNI 55,Mussels ,09/06/2025,100,2900,No harmful species observed,No harmful species observed,OPEN,Outwith letter issued 10.06.2025
Belfast ,B3 - AFFNI50,Mussels ,09/06/2025,20,640,No harmful species observed,No harmful species observed,OPEN,
Belfast ,B12 - AFFNI54,Mussels ,09/06/2025,No harmful species observed,1160,No harmful species observed,No harmful species observed,OPEN,
Belfast,B20 - AFFNI53,Mussels,09/06/2025,20,80,No harmful species observed,No harmful species observed,OPEN,
Dundrum Bay ,Inner North - DB1 - AFFNI95A,Oysters,09/06/2025,No harmful species observed,6600,No harmful species observed,No harmful species observed,OPEN,
Killough ,K1 - AFFNI18,Oysters,09/06/2025,No harmful species observed,2560,No harmful species observed,No harmful species observed,OPEN,
Larne Lough,L3 AFFNI 88,Oysters ,09/06/2025,No harmful species observed,140,No harmful species observed,No harmful species observed,OPEN,
Strangford ,S2 -AFFNI42,Mussels ,09/06/2025,20,240,No harmful species observed,No harmful species observed,OPEN,
Strangford ,S7 - AFFNI76,Oysters ,09/06/2025,No harmful species observed ,1140,No harmful species observed,No harmful species observed,OPEN,
Belfast,B1 - AFFNI 55,Mussels ,27/05/2025,20,5660,No harmful species observed,No harmful species observed,OPEN,
Belfast ,B3 - AFFNI50,Mussels ,27/05/2025,No harmful species observed,8220,No harmful species observed,No harmful species observed,OPEN,
