Lough,RepresentativeMonitoringPoints,ShellfishSpecies,DateOfSampling,DSPAlgae,ASPAlgae,PSPAlgae,Status,Comments
Belfast,B1 - AFFNI55,Mussels,10/01/2021,No harmful species observed,40,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,25/01/2021,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,10/02/2021,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,22/02/2021,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,08/03/2021,No harmful species observed,220,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,22/03/2021,No harmful species observed,160,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,07/04/2021,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,19/04/2021,No harmful species observed,80,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,10/05/2021,No harmful species observed,320,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,24/05/2021,No harmful species observed,200,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,01/06/2021,No harmful species observed,420,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,14/06/2021,20,1140,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,28/06/2021,No harmful species observed,1200,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,13/07/2021,20,1360,60,Open,PSP cell count above set trigger levels - Notification issued 15/7/21 - additional toxin samples have been initiated
Belfast,B1 - AFFNI55,Mussels,26/07/2021,120,410,40,Open,PSP and DSP cell count above set trigger levels - flesh toxin samples initiated.
Belfast,B1 - AFFNI55,Mussels,09/08/2021,100,940,60,Open,PSP and DSP cell count above set trigger levels - flesh toxin samples initiated.
Belfast,B1 - AFFNI55,Mussels,23/08/2021,No harmful species observed,380,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,06/09/2021,400,12740,No harmful species observed,Open,DSP cell count above set trigger levels - Notification issued 7/9/21 - additional toxin samples have been initiated
Belfast,B1 - AFFNI55,Mussels,13/09/2021,20,9620,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,20/09/2021,80,21600,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,11/10/2021,No harmful species observed,140,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,25/10/2021,No harmful species observed,120,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,08/11/2021,No harmful species observed,60,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,22/11/2021,No harmful species observed,40,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,29/11/2021,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,13/12/2021,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,27/12/2021,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,10/01/2021,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,25/01/2021,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,10/02/2021,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,22/02/2021,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,08/03/2021,No harmful species observed,140,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,22/03/2021,No harmful species observed,120,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,07/04/2021,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,19/04/2021,No harmful species observed,220,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,10/05/2021,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,24/05/2021,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,01/06/2021,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,14/06/2021,No harmful species observed,640,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,28/06/2021,No harmful species observed,940,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,13/07/2021,200,740,540,Open,PSP and DSP cell count above set trigger levels - Notification issued 15/7/21 - additional toxin samples have been initiated
Belfast,B3 - AFFNI50,Mussels,26/07/2021,20,2700,680,,PSP cell count above set trigger levels - flesh toxin samples initiated.
Belfast,B3 - AFFNI50,Mussels,09/08/2021,20,4200,20,Open,
Belfast,B3 - AFFNI50,Mussels,23/08/2021,20,560,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,06/09/2021,640,6940,No harmful species observed,Open,DSP cell count above set trigger levels - Notification issued 7/9/21 - additional toxin samples have been initiated
Belfast,B3 - AFFNI50,Mussels,13/09/2021,200,8860,No harmful species observed,Open,DSP cell count above set trigger levels - Notification issued 15/9/21 - additional toxin samples have been initiated
Belfast,B3 - AFFNI50,Mussels,20/09/2021,100,22160,No harmful species observed,Open,DSP cell count above set trigger levels - notification issued 21/9/21 - awaiting toxin sample results
Belfast,B3 - AFFNI50,Mussels,11/10/2021,No harmful species observed,80,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,25/10/2021,No harmful species observed,40,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,08/11/2021,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,22/11/2021,No harmful species observed,280,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,29/11/2021,No harmful species observed,80,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,13/12/2021,No harmful species observed,140,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,27/12/2021,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B12 - AFFNI54,Mussels,10/01/2021,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B12 - AFFNI54,Mussels,25/01/2021,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B12 - AFFNI54,Mussels,10/02/2021,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B12 - AFFNI54,Mussels,22/02/2021,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B12 - AFFNI54,Mussels,08/03/2021,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B12 - AFFNI54,Mussels,22/03/2021,No harmful species observed,140,No harmful species observed,Open,
Belfast,B12 - AFFNI54,Mussels,07/04/2021,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B12 - AFFNI54,Mussels,19/04/2021,No harmful species observed,160,No harmful species observed,Open,
