Lough,RepresentativeMonitoringPoints,ShellfishSpecies,DateOfSampling,DSPAlgae,ASPAlgae,PSPAlgae,Status,Comments
Strangford,S7 - AFFNI76,Mussels/ Oysters,09/03/2020,No harmful species,No harmful species,No harmful species,Oysters Open/Mussels de-classified 01/01/2020,
Strangford,S7 - AFFNI76,Mussels/ Oysters,23/03/2020,,,,Oysters Open/Mussels de-classified 01/01/2020,"Due to the COVID-19 virus outbreak, sampling has been suspended until further notice. "
Strangford,S7 - AFFNI76,Mussels/ Oysters,06/04/2020,,,,Oysters Open/Mussels de-classified 01/01/2020,"Due to the COVID-19 virus outbreak, sampling has been suspended until further notice. "
Strangford,S7 - AFFNI76,Mussels/ Oysters,20/04/2020,,,,Oysters Open/Mussels de-classified 01/01/2020,"Due to the COVID-19 virus outbreak, sampling has been suspended until further notice. "
Strangford,S7 - AFFNI76,Mussels/ Oysters,05/05/2020,,,,Oysters Open/Mussels de-classified 01/01/2020,"Due to the COVID-19 virus outbreak, sampling has been suspended until further notice. "
Strangford,S7 - AFFNI76,Mussels/ Oysters,18/05/2020,,,,Oysters Open/Mussels de-classified 01/01/2020,"Due to the COVID-19 virus outbreak, sampling has been suspended until further notice. "
Strangford,S7 - AFFNI76,Mussels/ Oysters,01/06/2020,,,,Oysters Open/Mussels de-classified 01/01/2020,"Due to the COVID-19 virus outbreak, sampling has been suspended until further notice. "
Strangford,S7 - AFFNI76,Mussels/ Oysters,15/06/2020,,,,Oysters Open/Mussels de-classified 01/01/2020,"Due to the COVID-19 virus outbreak, sampling has been suspended until further notice. "
Strangford,S7 - AFFNI76,Mussels/ Oysters,29/06/2020,,,,Oysters Open/Mussels de-classified 01/01/2020,"Due to the COVID-19 virus outbreak, sampling has been suspended until further notice. "
Strangford,S7 - AFFNI76,Mussels/ Oysters,20/07/2020,,,,Oysters Open/Mussels de-classified 01/01/2020,"Due to the COVID-19 virus outbreak, sampling has been suspended until further notice. "
Strangford,S7 - AFFNI76,Mussels/ Oysters,27/07/2020,,,,Oysters Open/Mussels de-classified 01/01/2020,
