Lough,RepresentativeMonitoringPoints,ShellfishSpecies,DateOfSampling,DSPAlgae,ASPAlgae,PSPAlgae,"Other (Producers of Yessotoxins, Hepatotoxins and Icthytoxic and nuisance species)",Status,Comments
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C17 AFFNI92",Oysters,24/01/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Carlingford,Narrow Water Wild Fishery,Mussels,24/01/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Lough Foyle,Production Area 3 ,Oysters/Mussels,24/01/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Lough Foyle,Production Area 4 ,Oysters/Mussels,24/01/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,31/01/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Killough,K1 - AFFNI18,Oysters,31/01/2022,No harmful species observed,200,No harmful species observed,No harmful species observed ,OPEN,
Strangford,S2 - AFFNI42,Mussels,31/01/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Strangford,S7 - AFFNI76,Oysters,31/01/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Belfast,B1 - AFFNI55,Mussels,07/02/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Belfast,B3 - AFFNI50,Mussels,07/02/2022,No harmful species observed,160,No harmful species observed,No harmful species observed ,OPEN,
Belfast,B12 - AFFNI54,Mussels,07/02/2022,No harmful species observed,1020,No harmful species observed,No harmful species observed ,OPEN,
Belfast,B20 - AFFNI53,Mussels,07/02/2022,No harmful species observed,640,No harmful species observed,No harmful species observed ,OPEN,
Carlingford,C1 - AFFNI27,Mussels,07/02/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Carlingford,C11 - AFFNI84,Oysters,07/02/2022,No harmful species observed,80,No harmful species observed,No harmful species observed ,OPEN,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C17 AFFNI92",Oysters,07/02/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Carlingford,Narrow Water Wild Fishery,Mussels,07/02/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Lough Foyle,Production Area 3 ,Oysters/Mussels,07/02/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Lough Foyle,Production Area 4 ,Oysters/Mussels,07/02/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,14/02/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Killough,K1 - AFFNI18,Oysters,14/02/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Strangford,S2 - AFFNI42,Mussels,14/02/2022,No harmful species observed,720,No harmful species observed,No harmful species observed,OPEN,
Strangford,S7 - AFFNI76,Oysters,14/02/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Belfast,B1 - AFFNI55,Mussels,21/02/2022,No harmful species observed,320,No harmful species observed,No harmful species observed ,OPEN,
Belfast,B3 - AFFNI50,Mussels,21/02/2022,No harmful species observed,260,No harmful species observed,No harmful species observed ,OPEN,
Belfast,B12 - AFFNI54,Mussels,21/02/2022,No harmful species observed,260,No harmful species observed,No harmful species observed ,OPEN,
Belfast,B20 - AFFNI53,Mussels,21/02/2022,No harmful species observed,80,No harmful species observed,No harmful species observed ,OPEN,
Lough Foyle,Production Area 3 ,Oysters/Mussels,21/02/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Lough Foyle,Production Area 4 ,Oysters/Mussels,21/02/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Carlingford,C11 - AFFNI84,Oysters,22/02/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C17 AFFNI92",Oysters,22/02/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Carlingford,Narrow Water Wild Fishery,Mussels,22/02/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,28/02/2022,No harmful species observed,400,No harmful species observed,No harmful species observed ,OPEN,
Killough,K1 - AFFNI18,Oysters ,28/02/2022,No harmful species observed,100,No harmful species observed,No harmful species observed ,OPEN,
Strangford,S2 - AFFNI42,Mussels,01/03/2022,No harmful species observed,40,No harmful species observed,No harmful species observed,OPEN,
Strangford,S7 - AFFNI76,Oysters,01/03/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN ,
Belfast,B1 - AFFNI55,Mussels,07/03/2022,No harmful species observed,1000,No harmful species observed,No harmful species observed ,OPEN,
Belfast,B3 - AFFNI50,Mussels,07/03/2022,No harmful species observed,760,No harmful species observed,No harmful species observed ,OPEN,
Belfast,B12 - AFFNI54,Mussels,07/03/2022,No harmful species observed,1240,No harmful species observed,No harmful species observed ,OPEN,
Belfast,B20 - AFFNI53,Mussels,07/03/2022,No harmful species observed,640,No harmful species observed,No harmful species observed ,OPEN,
Larne Lough,L3 AFFNI 88,Oysters,07/03/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Lough Foyle,Production Area 3 ,Oysters/Mussels,07/03/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN ,
Lough Foyle,Production Area 4 ,Oysters/Mussels,07/03/2022,No harmful species observed,60,No harmful species observed,No harmful species observed,OPEN,
Carlingford,C1 - AFFNI27,Mussels,08/03/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Carlingford,C11 - AFFNI84,Oysters,08/03/2022,No harmful species observed,No harmful species observed ,No harmful species observed,No harmful species observed ,OPEN,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C17 AFFNI92",Oysters,08/03/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Carlingford,Narrow Water Wild Fishery,Mussels,08/03/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN ,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,14/03/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN ,
Killough,K1 - AFFNI18,Oysters,14/03/2022,No harmful species observed,420,No harmful species observed,No harmful species observed ,OPEN,
Strangford,S2 - AFFNI42,Mussels,15/03/2022,NO harmful species observed,260,No harmful species observed,No harmful species observed,OPEN ,
Strangford,S7 - AFFNI76,Oysters,15/03/2022,NO harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN ,
Carlingford,C1 - AFFNI27,Mussels,21/03/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Carlingford,C11 - AFFNI84,Oysters ,21/03/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C17 AFFNI92",Oysters,21/03/2022,No harmful species observed,120,No harmful species observed,No harmful species observed ,OPEN ,
Carlingford,Narrow Water Wild Fishery,Mussels,21/03/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Lough Foyle,Production Area 3 ,Oysters/Mussels,21/03/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Lough Foyle,Production Area 4 ,Oysters/Mussels,21/03/2022,No harmful species observed,80,No harmful species observed,No harmful species observed,OPEN,
Larne Lough,L3 AFFNI 88,Oysters,22/03/2022,NO harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN ,
Belfast,B1 - AFFNI55,Mussels,28/03/2022,No harmful species observed,2760,No harmful species observed,No harmful species observed ,OPEN,
Belfast,B3 - AFFNI50,Mussels,28/03/2022,No harmful species observed,6840,No harmful species observed,No harmful species observed ,OPEN ,
Belfast,B12 - AFFNI54,Mussels,28/03/2022,No harmful species observed,960,No harmful species observed,No harmful species observed ,OPEN,
Belfast,B20 - AFFNI53,Mussels,28/03/2022,No harmful species observed,1620,No harmful species observed,No harmful species observed ,OPEN,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,28/03/2022,No harmful species observed,1040,No harmful species observed,No harmful species observed ,OPEN,
Killough,K1 - AFFNI18,Oysters,28/03/2022,NO harmful species observed,220,No harmful species observed,No harmful species observed ,OPEN ,
Strangford,S2 - AFFNI42,Mussels,29/03/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Strangford,S7 - AFFNI76,Oysters ,29/03/2022,No harmful species observed,100,No harmful species observed ,No harmful species observed ,OPEN,
Strangford,S2 - AFFNI42,Mussels,11/04/2022,No harmful species observed,140,No harmful species observed,No harmful species observed,OPEN ,
Strangford ,S7 - AFFNI76,Oysters ,11/04/2022,No harmful species observed ,520,No harmful species observed ,No harmful species observed ,OPEN ,
Belfast,B1 - AFFNI55,Mussels,12/04/2022,No harmful species observed,120,No harmful species observed,No harmful species observed ,OPEN ,
Belfast,B3 - AFFNI50,Mussels,12/04/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Belfast,B12 - AFFNI54,Mussels,12/04/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Belfast,B20 - AFFNI53,Mussels,12/04/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Carlingford,C1 - AFFNI27,Mussels,12/04/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN ,
Carlingford,C11 - AFFNI84,Oysters ,12/04/2022,No harmful species observed,940,No harmful species observed,No harmful species observed ,OPEN ,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C17 AFFNI92",Oysters,12/04/2022,No harmful species observed,3040,No harmful species observed,No harmful species observed ,OPEN,
Larne Lough,L3 AFFNI 88,Oysters,12/04/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN ,
Lough Foyle,Production Area 3 ,Oysters/Mussels,12/04/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN ,
Lough Foyle,Production Area 4 ,Oysters/Mussels,12/04/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN ,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,13/04/2022,No harmful species observed,6200,No harmful species observed,No harmful species observed ,OPEN,
Killough,K1 - AFFNI18,Oysters,13/04/2022,No harmful species observed,3120,No harmful species observed,No harmful species observed ,OPEN ,
Belfast,B1 - AFFNI55,Mussels,25/04/2022,20,200,No harmful species observed,No harmful species observed ,OPEN,
Belfast,B3 - AFFNI50,Mussels,25/04/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN ,
Belfast,B12 - AFFNI54,Mussels,25/04/2022,No harmful species observed,40,No harmful species observed,No harmful species observed ,OPEN,
Belfast,B20 - AFFNI53,Mussels,25/04/2022,No harmful species observed,120,No harmful species observed,No harmful species observed ,OPEN,
Larne Lough,L3 AFFNI 88,Oysters,25/04/2022,No harmful species observed,200,No harmful species observed,No harmful species observed ,OPEN,
Lough Foyle,Production Area 3 ,Oysters/Mussels,25/04/2022,No harmful species observed ,No harmful species observed,No harmful species observed,No harmful species observed,OPEN ,
Lough Foyle,Production Area 4 ,Oysters/Mussels,25/04/2022,No harmful species observed,700,No harmful species observed,No harmful species observed,OPEN ,
Carlingford,C1-AFFNI27,Mussels,26/04/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Carlingford,C11 - AFFNI84,Oysters ,26/04/2022,No harmful species observed,60,No harmful species observed,No harmful species observed ,OPEN,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C17 AFFNI92",Oysters,26/04/2022,No harmful species observed,900,No harmful species observed,No harmful species observed ,OPEN,
Carlingford,Narrow Water Wild Fishery,Mussels,26/04/2022,No harmful species observed,200,No harmful species observed,No harmful species observed ,OPEN,
Strangford ,S2 - AFFNI42,Mussels,26/04/2022,No harmful species observed ,No harmful species observed,No harmful species observed,40,OPEN,
Strangford ,S7 - AFFNI76,Oysters ,26/04/2022,No harmful species observed ,480,No harmful species observed ,No harmful species observed ,OPEN ,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,27/04/2022,No harmful species observed,700,No harmful species observed,No harmful species observed ,OPEN ,
Killough,K1 - AFFNI18,Oysters,27/04/2022,No harmful species observed,280,No harmful species observed,No harmful species observed ,OPEN,
Belfast,B1 - AFFNI55,Mussels,08/05/2022,No harmful species observed,1880,No harmful species observed,No harmful species observed ,OPEN,
Belfast,B3 - AFFNI50,Mussels,08/05/2022,No harmful species observed,1600,No harmful species observed,No harmful species observed ,OPEN,
Belfast,B12 - AFFNI54,Mussels,08/05/2022,No harmful species observed,2360,No harmful species observed,No harmful species observed ,OPEN,
Belfast,B20 - AFFNI53,Mussels,08/05/2022,No harmful species observed,580,No harmful species observed,No harmful species observed ,OPEN,
Larne Lough,L3 AFFNI 88,Oysters,09/05/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN ,
Lough Foyle,Production Area 3 ,Oysters/Mussels,09/05/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN ,
Lough Foyle,Production Area 4 ,Oysters/Mussels ,09/05/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Carlingford,C1-AFFNI27,Mussels,10/05/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN ,
Carlingford,C11 - AFFNI84,Oysters ,10/05/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN ,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C17 AFFNI92",Oysters,10/05/2022,No harmful species observed ,400,No harmful species observed,No harmful species observed ,OPEN ,
Carlingford,Narrow Water Wild Fishery,Mussels,10/05/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN ,
Strangford ,S2 - AFFNI42,Mussels,10/05/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Strangford ,S7 - AFFNI76,Oysters,10/05/2022,No harmful species observed,100,No harmful species observed ,No harmful species observed ,OPEN,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters ,11/05/2022,No harmful species observed ,12100,No harmful species observed ,No harmful species observed ,OPEN,
Killough ,K1 - AFFNI18,Oysters,11/05/2022,No harmful species observed ,9740,No harmful species observed ,No harmful species observed ,OPEN ,
Belfast,B1 - AFFNI55,Mussels,23/05/2022,20,3740,No harmful species observed,No harmful species observed ,OPEN ,
Belfast,B3 - AFFNI50,Mussels,23/05/2022,20,2920,No harmful species observed,No harmful species observed ,OPEN ,
Belfast,B12 - AFFNI54,Mussels,23/05/2022,60,6740,No harmful species observed,No harmful species observed ,OPEN ,
Belfast,B20 - AFFNI53,Mussels,23/05/2022,No harmful species observed,3580,No harmful species observed,No harmful species observed ,OPEN ,
Larne Lough,L3 AFFNI 88,Oysters,23/05/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN ,
Lough Foyle,Production Area 3 ,Oysters/Mussels,23/05/2022,No harmful species observed ,No harmful species observed,No harmful species observed,No harmful species observed,OPEN ,
Lough Foyle,Production Area 4 ,Oysters/Mussels,23/05/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN ,
Carlingford,C1 - AFFNI27,Mussels,24/05/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN ,
Carlingford,C11 - AFFNI84,Oysters ,24/05/2022,No harmful species observed,2380,No harmful species observed,No harmful species observed ,OPEN ,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C17 AFFNI92",Oysters,24/05/2022,No harmful species observed,80,No harmful species observed,No harmful species observed ,OPEN ,
Carlingford,Narrow Water Wild Fishery,Mussels,24/05/2022,No harmful species observed,540,No harmful species observed,No harmful species observed ,OPEN,
Strangford ,S2-AFFNI42,Mussels,24/05/2022,No harmful species observed ,700,No harmful species observed,No harmful species observed ,OPEN ,
Strangford ,S7- AFFNI76,Oysters ,24/05/2022,No harmful species observed ,360,No harmful species observed ,No harmful species observed ,Open ,
Dundrum Bay ,Inner North - DB1 - AFFNI95A,Oysters ,25/05/2022,No harmful species observed,920,No harmful species observed ,No harmful species observed ,OPEN ,
Killough ,K1 - AFFNI18,Oysters,25/05/2022,No harmful species observed,11640,No harmful species observed,No harmful species observed ,OPEN,
Dundrum Bay ,Inner North - DB1 - AFFNI95A,Oysters ,30/05/2022,No harmful species observed,1300,No harmful species observed ,No harmful species observed ,OPEN ,
Killough,K1 - AFFNI18,Oysters,30/05/2022,No harmful species observed,4780,No harmful species observed,No harmful species observed ,OPEN ,
Belfast,B1 - AFFNI55,Mussels,05/06/2022,20,15660,No harmful species observed,No harmful species observed ,OPEN ,
Belfast,B3 - AFFNI50,Mussels,05/06/2022,40,18320,No harmful species observed,No harmful species observed ,OPEN ,
Belfast,B12 - AFFNI54,Mussels,05/06/2022,No harmful species observed,12340,No harmful species observed,No harmful species observed ,OPEN ,
Belfast,B20 - AFFNI53,Mussels,05/06/2022,No harmful species observed,1820,No harmful species observed,No harmful species observed ,OPEN,
Larne Lough ,L3 AFFNI 88,Oysters,06/06/2022,80,1540,No harmful species observed ,120,OPEN,
Strangford ,S7- AFFNI76,Oysters,06/06/2022,No harmful species observed ,60,No harmful species observed ,No harmful species observed ,Open ,
Carlingford,C1 - AFFNI27,Mussels,07/06/2022,No harmful species observed,No harmful species observed,No harmful species observed ,No harmful species observed ,OPEN ,
Carlingford,C11 - AFFNI84,Oysters ,07/06/2022,40,900,No harmful species observed ,No harmful species observed ,OPEN ,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C17 AFFNI92",Oysters ,07/06/2022,No harmful species observed,260,No harmful species observed,No harmful species observed ,OPEN ,
Carlingford,Narrow Water Wild Fishery,Mussels,07/06/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN ,
Lough Foyle,Production Area 3,Oysters/Mussels,07/06/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN ,
Lough Foyle ,Production Area 4 ,Oysters/Mussels ,07/06/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN ,
Strangford ,S2-AFFNI42,Mussels,07/06/2022,140,10080,No harmful species observed,120,OPEN,DSP cells above trigger levels notification issued 8.6.2022 biotoxin sample due 14.6.2022
Dundrum Bay ,Inner North - DB1 - AFFNI95A,Oysters ,13/06/2022,No harmful species observed ,6980,No harmful species observed,No harmful species observed ,OPEN,
Belfast ,B1 - AFFNI55,Mussels,20/06/2022,No harmful species observed,2700,No harmful species observed,No harmful species observed ,OPEN ,
Belfast ,B3 - AFFNI50,Mussels,20/06/2022,No harmful species observed,1460,No harmful species observed,No harmful species observed ,OPEN,
Belfast,B12 - AFFNI54,Mussels,20/06/2022,140,18000,No harmful species observed,No harmful species observed ,OPEN ,DSP Cells above trigger levels notification issued 21.6.2022 biotoxin sample due 27.6.2022
Belfast ,B20 - AFFNI53,Mussels,20/06/2022,140,33200,No harmful species observed ,No harmful species observed ,OPEN ,DSP Cells above trigger levels notification issued 21.6.2022 biotoxin sample due 27.6.2022
Carlingford,C1 - AFFNI27,Mussels,20/06/2022,No harmful species observed,1600,No harmful species observed ,No harmful species observed ,OPEN ,
Carlingford,C11 - AFFNI84,Oysters ,20/06/2022,20,49200,No harmful species observed ,No harmful species observed ,OPEN ,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C17 AFFNI92",Oysters ,20/06/2022,No harmful species observed ,15000,No harmful species observed,No harmful species observed ,OPEN ,
Carlingford,Narrow Water Wild Fishery,Mussels,20/06/2022,No harmful species observed,2220,No harmful species observed,No harmful species observed,OPEN ,
Larne Lough ,L3 AFFNI 88,Oysters ,20/06/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN ,
Lough Foyle,Production Area 3,Oysters/Mussels,20/06/2022,No harmful species observed ,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN ,
Lough Foyle ,Production Area 4 ,Oysters/Mussels ,20/06/2022,No harmful species observed ,No harmful species observed,No harmful species observed,No harmful species observed,OPEN ,
Strangford ,S7- AFFNI76,Oysters ,20/06/2022,No harmful species observed ,920,No harmful species observed ,80,OPEN ,
Strangford ,S2-AFFNI42,Mussels,21/06/2022,20,7860,No harmful species observed,No harmful species observed ,OPEN ,
Dundrum Bay ,Inner North - DB1 - AFFNI95A,Oysters,27/06/2022,No harmful species observed,2340,No harmful species observed ,No harmful species observed ,OPEN,
Killough,K1 - AFFNI18,Oysters,27/06/2022,No harmful species observed ,4920,No harmful species observed,No harmful species observed,OPEN,
Belfast ,B1 - AFFNI55,Mussels,04/07/2022,No harmful species observed ,340,No harmful species observed,No harmful species observed ,OPEN ,
Belfast ,B3 - AFFNI50,Mussels,04/07/2022,20,200,No harmful species observed,No harmful species observed ,OPEN ,
Belfast,B12 - AFFNI54,Mussels,04/07/2022,No harmful species observed,120,No harmful species observed ,No harmful species observed ,OPEN,
Belfast ,B20 - AFFNI53,Mussels,04/07/2022,20,140,No harmful species observed ,No harmful species observed ,OPEN ,
Larne Lough ,L3 AFFNI 88,Oysters,04/07/2022,No harmful species observed ,880,No harmful species observed,No harmful species observed,OPEN,
Carlingford,C1 - AFFNI27,Mussels ,05/07/2022,No harmful species observed ,740,No harmful species observed,No harmful species observed,OPEN,
Carlingford,C11 - AFFNI84,Oysters ,05/07/2022,No harmful species observed,8720,No harmful species observed,No harmful species observed,OPEN ,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C17 AFFNI92",Oysters ,05/07/2022,No harmful species observed,2840,No harmful species observed,No harmful species observed,OPEN,
Carlingford ,Narrow Water Wild Fishery,Mussels,05/07/2022,No harmful species observed,920,No harmful species observed,No harmful species observed ,OPEN ,
Strangford ,S2-AFFNI42,Mussels,05/07/2022,No harmful species observed,80,No harmful species observed,No harmful species observed ,OPEN ,
Strangford ,S7- AFFNI76,Oysters ,05/07/2022,20,160,No harmful species observed ,No harmful species observed ,OPEN,
Dundrum BAY,Inner North - DB1 - AFFNI95A,Oysters ,12/07/2022,No harmful species observed ,12940,No harmful species observed ,No harmful species observed ,OPEN ,
Killough ,K1 - AFFNI18,Oysters ,14/07/2022,480,1220,No harmful species observed ,No harmful species observed ,OPEN ,DSP Cells above trigger level notification issued 15.7.2022
Belfast ,B1 - AFFNI55,Mussels,18/07/2022,No harmful species observed ,220,No harmful species observed,No harmful species observed,OPEN ,
Belfast ,B3 - AFFNI50,Mussels,18/07/2022,No harmful species observed,140,No harmful species observed,No harmful species observed,OPEN,
Belfast,B12 - AFFNI54,Mussels,18/07/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,Open ,
Belfast ,B20 - AFFNI53,Mussels,18/07/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Larne Lough ,L3 AFFNI 88,Oysters,18/07/2022,No harmful species observed ,9400,No harmful species observed,No harmful species observed,OPEN,
