Lough,RepresentativeMonitoringPoints,ShellfishSpecies,DateOfSampling,DSPAlgae,ASPAlgae,PSPAlgae,"Other (Producers of Yessotoxins, Hepatotoxins and Icthytoxic and nuisance species)",Status,Comments
Carlingford,Narrow Water Wild Fishery,Mussels,12/04/2020,No harmful species observed,280,No harmful species observed,No harmful species observed ,OPEN,
Killough,K1 - AFFNI18,Oysters ,13/06/2020,No harmful species observed,780,No harmful species observed,No harmful species observed ,OPEN,
Carlingford,C1 - AFFNI27,Mussels,22/02/2021,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Strangford,S2 - AFFNI42,Mussels,04/01/2022,No harmful species observed,80,No harmful species observed,No harmful species observed,OPEN,
Strangford,S7 - AFFNI76,Oysters,04/01/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,05/01/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Killough,K1 - AFFNI18,Oysters,05/01/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Belfast,B1 - AFFNI55,Mussels,10/01/2022,No harmful species observed,No harmful species observed ,No harmful species observed,No harmful species observed ,OPEN,
Belfast,B3 - AFFNI50,Mussels,10/01/2022,No harmful species observed,160,No harmful species observed,No harmful species observed ,OPEN,
Belfast,B12 - AFFNI54,Mussels,10/01/2022,No harmful species observed,40,No harmful species observed,No harmful species observed ,OPEN,
Belfast,B20 - AFFNI53,Mussels,10/01/2022,No harmful species observed,160,No harmful species observed,No harmful species observed ,OPEN,
Carlingford,C1 - AFFNI27,Mussels,10/01/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Carlingford,C7 - AFFNI73,Oysters,10/01/2022,No harmful species observed,80,No harmful species observed,No harmful species observed ,OPEN,
Carlingford,C9 - AFFNI39,Oysters,10/01/2022,No harmful species observed,120,No harmful species observed,No harmful species observed ,OPEN,
Carlingford,C11 - AFFNI84,Oysters,10/01/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Carlingford,Narrow Water Wild Fishery,Oysters,10/01/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Lough Foyle,Production Area 3 ,Oysters/Mussels,10/01/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Lough Foyle,Production Area 4 ,Oysters/Mussels,10/01/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,17/01/2022,No harmful species observed,160,No harmful species observed,No harmful species observed ,OPEN,
Killough,K1 - AFFNI18,Oysters,17/01/2022,No harmful species observed,220,No harmful species observed,No harmful species observed ,OPEN,
Strangford,S2 - AFFNI42,Mussels,17/01/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed,OPEN ,
Strangford,S7 - AFFNI76,Oysters,17/01/2022,No harmful species observed,120,No harmful species observed,No harmful species observed ,OPEN,
Belfast,B1 - AFFNI55,Mussels,24/01/2022,No harmful species observed,No harmful species observed,No harmful species observed,No harmful species observed ,OPEN,
Belfast,B3 - AFFNI50,Mussels,24/01/2022,No harmful species observed,1020,No harmful species observed,No harmful species observed ,OPEN,
Belfast,B12 - AFFNI54,Mussels,24/01/2022,No harmful species observed,640,No harmful species observed,No harmful species observed ,OPEN,
Belfast,B20 - AFFNI53,Mussels,24/01/2022,No harmful species observed,480,No harmful species observed,No harmful species observed ,OPEN,
Carlingford,C1 - AFFNI27,Mussels,24/01/2022,No harmful species observed,No harmful species observed ,No harmful species observed,No harmful species observed ,OPEN,
Carlingford,C11 - AFFNI84,Oysters,24/01/2022,No harmful species observed,No harmful species observed ,No harmful species observed,No harmful species observed ,OPEN,
