Lough,RepresentativeMonitoringPoints,ShellfishSpecies,DateOfSampling,DSPAlgae,ASPAlgae,PSPAlgae,"Other (Producers of Yessotoxins, Hepatotoxins and Icthytoxic and nuisance species)",Status,Comments
Lough Foyle,Production Area 4 ,Oysters/Mussels,13/02/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Larne Lough,L3 AFFNI 88,Oysters ,14/02/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters ,20/02/2023,No harmful species identified ,No harmful species identified ,No harmful species identified,No harmful species identified ,Open,
Killough ,K1 - AFFNI18,Oysters ,20/02/2023,No harmful species identified ,No harmful species identified ,No harmful species identified,No harmful species identified ,Open,
Larne Lough ,L3 AFFNI 88,Oysters,20/02/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Strangford,S2 - AFFNI42,Mussels,21/02/2023,No harmful species identified ,20,No harmful species identified ,No harmful species identified ,Open,
Strangford,S7 - AFFNI76,Oysters,21/02/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Belfast,B1 - AFFNI55,Mussels,27/02/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Belfast,B3 - AFFNI50,Mussels,27/02/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Belfast ,B12 - AFFNI54,Mussels,27/02/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Belfast,B20 - AFFNI53,Mussels,27/02/2023,No harmful species identified ,40,No harmful species identified ,No harmful species identified ,Open,
Lough Foyle,Production Area 3 ,Oysters/Mussels,27/02/2023,No harmful species identified ,160,No harmful species identified ,No harmful species identified ,Open,
Lough Foyle,Production Area 4 ,Oysters/Mussels,27/02/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Carlingford,C1 - AFFNI27,Mussels,28/02/2023,No harmful species identified ,140,No harmful species identified ,No harmful species identified,Open,
Carlingford,C11 - AFFNI84,Oysters ,28/02/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified,Open,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C17 AFFNI92",Oysters,28/02/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Carlingford,Narrow Water Wild Fishery,Mussels,28/02/2023,No harmful species identified ,40,No harmful species identified ,No harmful species identified ,Open,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,06/03/2023,No harmful species identified ,No harmful species identified ,No harmful species identified,No harmful species identified ,Open,
Killough,K1 - AFFNI18,Oysters,06/03/2023,No harmful species identified ,No harmful species identified ,No harmful species identified,No harmful species identified ,Open,
Larne Lough,L3 AFFNI 88,Oysters,06/03/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Strangford,S2 - AFFNI42,Mussels,06/03/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Strangford,S7 - AFFNI76,Oysters,06/03/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Lough Foyle,Production Area 3 ,Oysters/Mussels,13/03/2023,No harmful species identified ,100,No harmful species identified ,No harmful species identified ,Open,
Lough Foyle,Production Area 4 ,Oysters/Mussels,13/03/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Carlingford,C1 - AFFNI27,Mussels,14/03/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified,Open,
Carlingford,C11 - AFFNI84,Oysters,14/03/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified,Open,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C17 AFFNI92",Oysters,14/03/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Carlingford,Narrow Water Wild Fishery,Mussels,14/03/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Belfast,B1 - AFFNI55,Mussels,19/03/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Belfast,B3 - AFFNI50,Mussels,19/03/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Belfast ,B12 - AFFNI54,Mussels,19/03/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Belfast,B20 - AFFNI53,Mussels,19/03/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,20/03/2023,No harmful species identified ,No harmful species identified ,No harmful species identified,No harmful species identified ,Open,
Killough,K1 - AFFNI18,Oysters,20/03/2023,No harmful species identified ,No harmful species identified ,No harmful species identified,No harmful species identified ,Open,
Larne Lough,L3 AFFNI 88,Oysters,20/03/2023,No harmful species identified ,320,No harmful species identified ,No harmful species identified ,Open,
Strangford,S2 - AFFNI42,Mussels,20/03/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Strangford,S7 - AFFNI76,Oysters,20/03/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Carlingford,C1 - AFFNI27,Mussels,27/03/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified,Open,
Carlingford,C11 - AFFNI84,Oysters ,27/03/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified,Open,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C16 AFFNI106 and C17 AFFNI92",Oysters,27/03/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Carlingford,Narrow Water Wild Fishery,Mussels,27/03/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Lough Foyle,Production Area 3 ,Oysters/Mussels,27/03/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Lough Foyle,Production Area 4 ,Oysters/Mussels,27/03/2023,No harmful species identified ,80,No harmful species identified ,No harmful species identified ,Open,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,03/04/2023,No harmful species identified ,No harmful species identified ,No harmful species identified,No harmful species identified ,Open,
Killough,K1 - AFFNI18,Oysters,03/04/2023,No harmful species identified ,No harmful species identified ,No harmful species identified,No harmful species identified ,Open,
Strangford,S2 - AFFNI42,Mussels,03/04/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Strangford ,S7 - AFFNI76,Oysters ,03/04/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
